,id,identifier,csdRefcode,doi
gmof_Uio66Zr-BDC_A-irmof6_A_No60,6196d13ef8a517a48b6ce791,qmof-46c15b7,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m1_o18_o18_pcu_sym_70,6196cf7df8a517a48b6cc770,qmof-735264a,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m4_Al_o17_o23_acs_sym_50,6196d022a6be6ad33899db57,qmof-2b284cb,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m7_o11_o24_bcu_sym_11,6196d05cf8a517a48b6cd5b8,qmof-74ace65,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Al2O6-BDC_B-irmof7_B_No685,6196d0d8a6be6ad33899e659,qmof-ced3286,,https://doi.org/10.1039/C9TA01752F
BEMLEM_FSR,6196c765f8a517a48b6c3b6c,qmof-6b7c621,BEMLEM,https://doi.org/10.1002/zaac.201200222
boydwoo_str_m5_Al_o8_o26_sra_sym_165,6196d033a6be6ad33899dcbe,qmof-48537be,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Uio66Zr-irmof10_A-irmof14_A_No103,6196d127a6be6ad33899eb93,qmof-301845c,,https://doi.org/10.1039/C9TA01752F
gmof_AlO6-mof177_No37,6196d0fbf8a517a48b6ce10d,qmof-19b2b95,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m4_Al_o17_o23_acs_sym_133,6196d01fa6be6ad33899db24,qmof-7b5d65b,,https://doi.org/10.24435/materialscloud:2018.0016/v3
core_PIJROR_freeONLY,6196d0aca6be6ad33899e376,qmof-50150b4,PIJROR,
boydwoo_str_m1_o11_o24_pcu_sym_208,6196cf8fa6be6ad33899cf44,qmof-53c6dbb,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Zn4O13-irmof20_A-irmof6_A_No193,6196d19aa6be6ad33899f23e,qmof-ed77021,,https://doi.org/10.1039/C9TA01752F
gmof_Al2O6-AZO_B-irmof7_B_No210,6196d0dff8a517a48b6cde74,qmof-87204b7,,https://doi.org/10.1039/C9TA01752F
core_APARAM_freeONLY,6196d084f8a517a48b6cd897,qmof-42d5f8c,APARAM,
boydwoo_str_m3_o17_o22_pcu_sym_162,6196cfbcf8a517a48b6ccae4,qmof-d816f85,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m5_Al_o1_o17_sra_sym_44,6196d02ba6be6ad33899dc0f,qmof-3957f91,,https://doi.org/10.24435/materialscloud:2018.0016/v3
VUSNUT_FSR,6196ce8df8a517a48b6cb52d,qmof-b583a60,VUSNUT,https://doi.org/10.1002/adma.200903217
HEJQIZ_FSR,6196c9efa6be6ad338996ba7,qmof-1339fce,HEJQIZ,https://doi.org/10.1039/C7SC03067C
boydwoo_str_m5_Al_o2_o13_sra_sym_102,6196d04ca6be6ad33899de94,qmof-3133b45,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m1_o20_o24_pcu_sym_155,6196cf88f8a517a48b6cc813,qmof-54d6b26,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m1_o4_o9_pcu_sym_196,6196cf83a6be6ad33899ce3d,qmof-8d37439,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m3_o2_o12_pcu_sym_112,6196cfe0a6be6ad33899d687,qmof-46c0e50,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m7_Zn_o4_o10_bcu_sym_36,6196d053f8a517a48b6cd51d,qmof-129e0cb,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m5_Al_o3_o7_sra_sym_56,6196d032f8a517a48b6cd308,qmof-8dd89f6,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_AlO6-mof177-N_No5,6196d10fa6be6ad33899ea71,qmof-adb2c4d,,https://doi.org/10.1039/C9TA01752F
gmof_Zn2O8N2-irmof14_A-irmof20_A_No5,6196d152f8a517a48b6ce8fd,qmof-a694bf7,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m4_Al_o20_o23_acs_sym_211,6196cffef8a517a48b6ccfb1,qmof-a3cf233,,https://doi.org/10.24435/materialscloud:2018.0016/v3
TESGIJ_FSR,6196ce05f8a517a48b6caa89,qmof-05d43e5,TESGIJ,https://doi.org/10.1524/ncrs.2012.0240
boydwoo_str_m3_o15_o17_nbo_sym_15,6196cfaff8a517a48b6cca1b,qmof-99746c8,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m1_o16_o26_pcu_sym_221,6196cf7bf8a517a48b6cc73f,qmof-de2dc2d,,https://doi.org/10.24435/materialscloud:2018.0016/v3
core_FEFDEB_manual,6196d076a6be6ad33899e0bc,qmof-1702f8c,FEFDEB,
gmof_Zn4O13-BDC_A-irmof20_A_No334,6196d17ca6be6ad33899f09a,qmof-663dc22,,https://doi.org/10.1039/C9TA01752F
gmof_Zn4O13-BDC_A-irmof20_A_No581,6196d16aa6be6ad33899efa3,qmof-86aace2,,https://doi.org/10.1039/C9TA01752F
gmof_Zn2O8N2-DPAC_A-irmof7_A_No835,6196d160f8a517a48b6ce9e9,qmof-6e1f8f0,,https://doi.org/10.1039/C9TA01752F
gmof_Zn2O8N2-AZO_A-irmof14_A_No287,6196d13df8a517a48b6ce782,qmof-2e2bcea,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m3_o3_o8_pcu_sym_18,6196cfdda6be6ad33899d63c,qmof-a1c8920,,https://doi.org/10.24435/materialscloud:2018.0016/v3
MOF-5_cooh_2_120_2,6196cb84a6be6ad3389986dc,qmof-30f908c,,https://doi.org/10.1021/jp401920y
gmof_Al2O6-AZO_B-irmof7_B_No18,6196d0dcf8a517a48b6cde46,qmof-def2fe1,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m5_Al_o3_o27_sra_sym_35,6196d029f8a517a48b6cd2a9,qmof-dc9f9b0,,https://doi.org/10.24435/materialscloud:2018.0016/v3
BOYBUO_FSR,6196c79ca6be6ad338994732,qmof-47ef021,BOYBUO,https://doi.org/10.14102/j.cnki.0254-5861.2011-0359
KUHDEX_FSR,6196cb07a6be6ad338997e93,qmof-cee9997,KUHDEX,https://doi.org/10.1002/zaac.200900073
LODPOL_FSR,6196cb42a6be6ad338998258,qmof-99cc81d,LODPOL,https://doi.org/10.1021/cg401583v
boydwoo_str_m3_o11_o25_pcu_sym_76,6196cf95a6be6ad33899cfec,qmof-cf29560,,https://doi.org/10.24435/materialscloud:2018.0016/v3
core_REFTON_SL,6196d27ff8a517a48b6cfb9e,qmof-8ba1416,REFTON,
boydwoo_str_m3_o16_o17_pcu_sym_46,6196cfb0f8a517a48b6cca2a,qmof-a504f89,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Zn4O13-BDC_A-irmof20_A_No617,6196d171a6be6ad33899eff5,qmof-06e412e,,https://doi.org/10.1039/C9TA01752F
gmof_Al2O6-irmof20_B-irmof7_B_No305,6196d10cf8a517a48b6ce2de,qmof-d4a767d,,https://doi.org/10.1039/C9TA01752F
LACFOM_FSR,6196cb04f8a517a48b6c79f1,qmof-ee96c92,LACFOM,https://doi.org/10.1039/c004010j
gmof_Zn2O8N2-irmof16_A-irmof20_A_No236,6196d15af8a517a48b6ce976,qmof-5d785bc,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m3_o2_o14_pcu_sym_151,6196cfe3a6be6ad33899d6b9,qmof-ba67bb7,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Al2O6-DPAC_B-irmof10_B_No79,6196d0e3a6be6ad33899e718,qmof-3bf57c7,,https://doi.org/10.1039/C9TA01752F
gmof_Zn4O13-irmof14_A-irmof16_A_No35,6196d18ba6be6ad33899f168,qmof-e631bf0,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m3_o4_o21_pcu_sym_4,6196cffaa6be6ad33899d862,qmof-1f2de8f,,https://doi.org/10.24435/materialscloud:2018.0016/v3
KEVBUK01_FSR,6196cabba6be6ad33899796c,qmof-23e95ee,KEVBUK01,https://doi.org/10.1039/C3SC22222E
pyrene_GILFIT,6196d19cf8a517a48b6cee03,qmof-2f3c712,,https://doi.org/10.24435/materialscloud:z5-ct
gmof_Zn2O8-ADC_A-irmof7_A_No1099,6196d14aa6be6ad33899eda1,qmof-2337586,,https://doi.org/10.1039/C9TA01752F
ALIDUU_FSR,6196c6f1a6be6ad338993a1b,qmof-41e59b9,ALIDUU,https://doi.org/10.1021/ic034619o
boydwoo_str_m5_Al_o13_o27_sra_sym_13,6196d02aa6be6ad33899dbf7,qmof-5a70274,,https://doi.org/10.24435/materialscloud:2018.0016/v3
EDUDAK01_FSR,6196c88bf8a517a48b6c4e81,qmof-863a9f2,EDUDAK01,https://doi.org/10.1002/ejic.201402269
OKIJIC_FSR,6196cc5cf8a517a48b6c8e43,qmof-6d98f40,OKIJIC,https://doi.org/10.1021/cg1005242
IQOJAB_FSR,6196ca46a6be6ad33899715e,qmof-b8ef003,IQOJAB,https://doi.org/10.1021/acs.cgd.6b00780
SIXFIQ01_FSR,6196cdd4a6be6ad33899b2ba,qmof-a372b4b,SIXFIQ01,https://doi.org/10.1039/C3CE42219D
gmof_Al2O6-irmof16_B-irmof6_B_No78,6196d100f8a517a48b6ce189,qmof-a5088d3,,https://doi.org/10.1039/C9TA01752F
YASNIQ_FSR,6196cf45f8a517a48b6cc3d0,qmof-377f492,YASNIQ,https://doi.org/10.1107/S0108270105013399
tobacco_SR_ttv_v1-3c_B_Ch_v2-12c_Zr_1_Ch_1B_4H_Ch_2x2x2,6196d1a6f8a517a48b6cee79,qmof-3aea4c9,,https://doi.org/10.17605/OSF.IO/7DGVY
core_BEPRIZ_freeONLY,6196d25ba6be6ad33899fcd8,qmof-1f21a3f,BEPRIZ,
boydwoo_str_m4_Al_o23_o23_acs_sym_103,6196d005f8a517a48b6cd034,qmof-ee62841,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m4_Al_o6_o7_acs_sym_130,6196d00ba6be6ad33899d9ae,qmof-d14ddee,,https://doi.org/10.24435/materialscloud:2018.0016/v3
OSIWIX_FSR,6196cc77a6be6ad338999a2f,qmof-091d15e,OSIWIX,https://doi.org/10.1021/cg101435b
KAYJUS_FSR,6196cab1f8a517a48b6c746f,qmof-6007fac,KAYJUS,https://doi.org/10.1038/s41467-017-00122-5
gmof_Al2O6-irmof10_B-irmof7_B_No704,6196d0f9f8a517a48b6ce0e4,qmof-264c381,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m5_Al_o3_o13_sra_sym_32,6196d056a6be6ad33899df48,qmof-7044cf9,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m3_o3_o14_pcu_sym_60,6196cfdff8a517a48b6ccd9c,qmof-a4d3459,,https://doi.org/10.24435/materialscloud:2018.0016/v3
tobacco_srsb_sym_3_on_2_sym_3_mc_0_L_6,6196d1afa6be6ad33899f345,qmof-9a04c15,,https://doi.org/10.1021/acs.cgd.7b00848
ANAWOD_FSR,6196d1eaa6be6ad33899f594,qmof-5c01e0f,ANAWOD,https://doi.org/10.1021/acs.cgd.6b00488
boydwoo_str_m3_o5_o22_pcu_sym_145,6196d003f8a517a48b6cd002,qmof-eecf791,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m1_o16_o18_pcu_sym_175,6196cf78f8a517a48b6cc703,qmof-c2974b7,,https://doi.org/10.24435/materialscloud:2018.0016/v3
QOBZUD_FSR,6196cd0ea6be6ad33899a4c7,qmof-7269376,QOBZUD,https://doi.org/10.1016/j.ica.2007.10.024
GUTRIX_FSR,6196c9a1a6be6ad33899664a,qmof-549b538,GUTRIX,https://doi.org/10.1002/chem.200903184
AWEXOR_FSR,6196c735a6be6ad338994000,qmof-eaee57b,AWEXOR,https://doi.org/10.1021/acs.cgd.6b01054
boydwoo_str_m5_Al_o8_o16_sra_sym_23,6196d02da6be6ad33899dc2f,qmof-d7b34d4,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m1_o11_o25_pcu_sym_123,6196cf90a6be6ad33899cf62,qmof-02592f2,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Al2O6-fum_B-irmof7_B_No167,6196d0eaf8a517a48b6cdf68,qmof-88d84c1,,https://doi.org/10.1039/C9TA01752F
JIQREJ_FSR,6196ca8fa6be6ad33899764b,qmof-e2e6668,JIQREJ,https://doi.org/10.3866/PKU.WHXB201603102
gmof_Al2O6-BDC_B-irmof10_B_No85,6196d0eff8a517a48b6cdfed,qmof-0d50e07,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m3_o2_o11_pcu_sym_139,6196cfdea6be6ad33899d65e,qmof-ab031ec,,https://doi.org/10.24435/materialscloud:2018.0016/v3
CASQEU_FSR,6196c7c2a6be6ad338994a01,qmof-330a403,CASQEU,https://doi.org/10.1080/15533174.2011.591876
gmof_AlO6-irmof8_A_No1,6196d107a6be6ad33899e9f4,qmof-0f39fa4,,https://doi.org/10.1039/C9TA01752F
gmof_Zn4O13-BDC_A-DPAC_A_No614,6196d17df8a517a48b6cec04,qmof-e4ab65a,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m5_Al_o6_o17_sra_sym_84,6196d03cf8a517a48b6cd394,qmof-3e0685e,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m3_o17_o28_pcu_sym_186,6196cfa4a6be6ad33899d152,qmof-e521dd0,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Al2O6-BDC_B-irmof7_B_No540,6196d0d5a6be6ad33899e60a,qmof-5893d8f,,https://doi.org/10.1039/C9TA01752F
gmof_Al2O6-DPAC_B-irmof7_B_No365,6196d0efa6be6ad33899e833,qmof-67f79ac,,https://doi.org/10.1039/C9TA01752F
ULIBEY_FSR,6196ce5cf8a517a48b6cb12d,qmof-a2a082e,ULIBEY,https://doi.org/10.1134/S0022476615060165
gmof_AlO6-irmof6_A_No15,6196d103a6be6ad33899e9b3,qmof-9c45fa9,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m1_o14_o22_pcu_sym_82,6196cf74f8a517a48b6cc6c6,qmof-14332ab,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Al2O6-BDC_B-irmof7_B_No221,6196d0cfa6be6ad33899e5ab,qmof-f3d5d89,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m3_o2_o15_pcu_sym_131,6196cfe4a6be6ad33899d6d6,qmof-f5af2da,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Zn2O8N2-AZO_A-irmof20_A_No202,6196d13ff8a517a48b6ce7a9,qmof-26447ba,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m5_Al_o19_o23_sra_sym_69,6196d024a6be6ad33899db84,qmof-7be7bdd,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m7_Zn_o11_o24_bcu_sym_69,6196d045a6be6ad33899de2e,qmof-17be6a5,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Zn2O8N2-irmof6_A-irmof8_A_No210,6196d163f8a517a48b6cea16,qmof-9637700,,https://doi.org/10.1039/C9TA01752F
AMIKOX_FSR,6196c711a6be6ad338993ce7,qmof-9968ce6,AMIKOX,https://doi.org/10.1039/c0dt00931h
boydwoo_str_m3_o4_o27_pcu_sym_157,6196d006a6be6ad33899d95a,qmof-edc50fe,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m3_o14_o28_pcu_sym_258,6196cfaef8a517a48b6cca11,qmof-f9dbc15,,https://doi.org/10.24435/materialscloud:2018.0016/v3
VERQOA01_FSR,6196ce96f8a517a48b6cb5ce,qmof-f78ad77,VERQOA01,https://doi.org/10.1021/ic301482e
boydwoo_str_m3_o3_o9_pcu_sym_247,6196cfe0a6be6ad33899d682,qmof-c6f6604,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Al2O6-AZO_B-irmof20_B_No210,6196d0d9f8a517a48b6cde08,qmof-c488679,,https://doi.org/10.1039/C9TA01752F
FEFHII_FSR,6196c900f8a517a48b6c56c5,qmof-2ce69a2,FEFHII,https://doi.org/10.1107/S0108270105001101
OCESUL01_FSR,6196cc4aa6be6ad3389996bf,qmof-c2a6c60,OCESUL01,https://doi.org/10.1039/b518052j
gmof_Al2O6-irmof20_B-irmof7_B_No389,6196d10ff8a517a48b6ce324,qmof-b66ea07,,https://doi.org/10.1039/C9TA01752F
WIWTUU_FSR,6196cecaa6be6ad33899c349,qmof-b1d5255,WIWTUU,https://doi.org/10.1134/S1070328418120126
boydwoo_str_m1_o5_o15_pcu_sym_13,6196cf87a6be6ad33899ce97,qmof-78b934a,,https://doi.org/10.24435/materialscloud:2018.0016/v3
PUFVUJ_FSR,6196ccd5a6be6ad33899a0d5,qmof-59d990b,PUFVUJ,https://doi.org/10.1002/chem.201405395
gmof_Al2O6-DPAC_B-irmof7_B_No709,6196d0f2a6be6ad33899e87a,qmof-ef59642,,https://doi.org/10.1039/C9TA01752F
gmof_Zn2O8N2-DPAC_A-irmof8_A_No229,6196d162f8a517a48b6cea07,qmof-0dc00e5,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m3_o13_o16_pcu_sym_48,6196cfb7a6be6ad33899d35a,qmof-a1630ed,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m3_o14_o24_pcu_sym_108,6196cfacf8a517a48b6cc9ee,qmof-006f9b7,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m3_o22_o22_pcu_sym_69,6196cfe1f8a517a48b6ccdc8,qmof-7216406,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_AlO6-ADC_A_No7,6196d107f8a517a48b6ce24d,qmof-c9d0c12,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m3_o6_o17_pcu_sym_221,6196d010f8a517a48b6cd0f7,qmof-a7bfd90,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_AlO6-DPAC_A_No11,6196d116f8a517a48b6ce3ef,qmof-7f7afd2,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m4_Al_o20_o23_acs_sym_128,6196cffdf8a517a48b6ccf94,qmof-eedc47f,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m3_o26_o28_pcu_sym_123,6196cfd7a6be6ad33899d5dc,qmof-0b51679,,https://doi.org/10.24435/materialscloud:2018.0016/v3
VAGMIB01_FSR,6196ce59f8a517a48b6cb0de,qmof-66d9aa7,VAGMIB01,https://doi.org/10.1002/chem.201001549
gmof_Zn2O8N2-irmof14_A-irmof8_A_No19,6196d157f8a517a48b6ce94f,qmof-49593d6,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m3_o4_o14_nbo_sym_138,6196cfe9a6be6ad33899d737,qmof-2353005,,https://doi.org/10.24435/materialscloud:2018.0016/v3
ZIGQUE_FSR,6196cf6ef8a517a48b6cc667,qmof-eed5626,ZIGQUE,https://doi.org/10.1002/asia.201800754
gmof_Al2O6-irmof6_B-irmof7_B_No286,6196d114f8a517a48b6ce3ab,qmof-e6bb158,,https://doi.org/10.1039/C9TA01752F
gmof_ZnN4-SiF6-irmof20_No3,6196d174f8a517a48b6ceb6e,qmof-d4f01fe,,https://doi.org/10.1039/C9TA01752F
gmof_Al2O6-BDC_B-irmof20_B_No9,6196d0f5f8a517a48b6ce079,qmof-c5bcd42,,https://doi.org/10.1039/C9TA01752F
RICREB01_FSR,6196cd74f8a517a48b6ca078,qmof-a21d1e4,RICREB01,https://doi.org/10.1039/b717233h
core_MUNPER_freeONLY,6196d0abf8a517a48b6cdb11,qmof-651a0e2,MUNPER,
boydwoo_str_m3_o12_o16_pcu_sym_39,6196cfa5a6be6ad33899d166,qmof-17a96f5,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Al2O6-DPAC_B-irmof10_B_No15,6196d0e2a6be6ad33899e707,qmof-094c879,,https://doi.org/10.1039/C9TA01752F
gmof_Uio66Zr-BDC_A-irmof7_A_No300,6196d14bf8a517a48b6ce884,qmof-7b942a4,,https://doi.org/10.1039/C9TA01752F
gmof_Zn4O13-BDC_A-irmof20_A_No36,6196d181a6be6ad33899f0e0,qmof-c5f3d0d,,https://doi.org/10.1039/C9TA01752F
